Product Name,Rating,Price,Image URL,Product Link,Category
"Whiskas Adult (1+ Years) Dry Cat Food, Ocean Fish Flavour, 1.2 kg, Contains 41 Essential Nutrients, Complete & Balanced Nutrition for Adult Cats",4.5 out of 5 stars,₹391.00,"https://images-eu.ssl-images-amazon.com/images/I/71s9encjhcL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Contains-Essential-Nutrients-Complete-Nutrition/dp/B00LHUMDMU/ref=zg_bs_g_pet-supplies_d_sccl_12/259-0518190-3818361?psc=1,pet-supplies
"WOW DOG Ultra Warm 18 Inches Dog Jacket & Coat for Winter - Thick Fleece Camouflage Army Vest, Cozy Jacket for Cold Weather, Colors May Vary",3.8 out of 5 stars,₹349.00,"https://images-eu.ssl-images-amazon.com/images/I/619CsJ+DGVL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/WOW-DOG-Inches-Jacket-Winter/dp/B0DJ4B1GP3/ref=zg_bs_g_pet-supplies_d_sccl_13/259-0518190-3818361?psc=1,pet-supplies
"Whiskas Adult (1+ Years) Wet Cat Food, Chicken in Gravy, 80 g x 14, Hydrating Food Made With Real Chicken, 100% Complete & Balanced Nutrition for Adult Cats",4.4 out of 5 stars,₹540.00,"https://images-eu.ssl-images-amazon.com/images/I/71x78Uyrp2L._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Whiskas-Hydrating-Complete-Balanced-Nutrition/dp/B093ZT4QM7/ref=zg_bs_g_pet-supplies_d_sccl_14/259-0518190-3818361?psc=1,pet-supplies
"Drools Adult Wet Dog Food, Real Chicken and Chicken Liver Chunks in Gravy,2.25 Kg (150g x 15) Pack of 15",4.2 out of 5 stars,₹491.00,"https://images-eu.ssl-images-amazon.com/images/I/81UJwNbAq+L._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Drools-Adult-Chicken-Chunks-Pouches/dp/B08BVMYRRN/ref=zg_bs_g_pet-supplies_d_sccl_15/259-0518190-3818361?psc=1,pet-supplies
"Foodie Puppies Natural Bentonite Cat Litter - 20kg with Lavender Fragrance for Multiple Cats and Kittens | Clean Low-dust Strong Deodorant Litter Tray Refill with Odor Controlling, Instant Clumping",4.0 out of 5 stars,₹970.00,"https://images-eu.ssl-images-amazon.com/images/I/81JCoo5sRnL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Foodie-Puppies-Cat-Litter-20Kg/dp/B09GN8LG8Z/ref=zg_bs_g_pet-supplies_d_sccl_16/259-0518190-3818361?psc=1,pet-supplies
"Purepet Meat and Rice Adult Dog Food Pellet, 10kg",4.2 out of 5 stars,"₹1,169.00","https://images-eu.ssl-images-amazon.com/images/I/51uk1X+KzsL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Purepet-Meat-Rice-Adult-10kg/dp/B079TTTWRX/ref=zg_bs_g_pet-supplies_d_sccl_17/259-0518190-3818361?psc=1,pet-supplies
"Whiskas Junior Mother Cat & Kitten (2-12 Months) Dry Cat Food, Ocean Fish Flavour, 1.1 kg, Contains 41 Essential Nutrients, Complete & Balanced Nutrition for Mother Cats & Kittens",4.5 out of 5 stars,₹403.00,"https://images-eu.ssl-images-amazon.com/images/I/71XS7pUHVeL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Contains-Essential-Nutrients-Complete-Nutrition/dp/B00LHULLKA/ref=zg_bs_g_pet-supplies_d_sccl_18/259-0518190-3818361?psc=1,pet-supplies
Ever Clean Scoopable Smart Bentonite Cat Litter | 10 Kg | 5 Kg X 2 Packs | Organic | Bentonite from Turkey | Dust-Free |,4.1 out of 5 stars,₹527.00,"https://images-eu.ssl-images-amazon.com/images/I/51cktrY1QuL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Ever-Clean-Scoopable-Bentonite-Dust-Free/dp/B0DQTTFPL7/ref=zg_bs_g_pet-supplies_d_sccl_19/259-0518190-3818361?psc=1,pet-supplies
"Hipkoo Advanced Natural Clumping Cat Litter Sand|| 99% Dust Free, 10Kg (2 Packs of 5Kg)",3.8 out of 5 stars,₹499.00,"https://images-eu.ssl-images-amazon.com/images/I/51REjlJcOUL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Hipkoo-Advanced-Natural-Clumping-Litter/dp/B0CH8PV89K/ref=zg_bs_g_pet-supplies_d_sccl_20/259-0518190-3818361?psc=1,pet-supplies
"PUPPEE Wipe ME 100% Biodegradable 96 Count (Pack of 2) Wet Wipes for Dogs, Cats & All Pets | Lavender Essential, Vitamin E & Olive Oil | Anti-Bacterial | Cleansing, Deodorising & Grooming Wipes",4.4 out of 5 stars,₹189.00,"https://images-eu.ssl-images-amazon.com/images/I/71dDrG6kN-L._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/PUPPEE-Biodegradable-Anti-Bacterial-Hypoallergic-Deodorising/dp/B0B34TC2ZM/ref=zg_bs_g_pet-supplies_d_sccl_21/259-0518190-3818361?psc=1,pet-supplies
"Drools Adult Dry Dog Food Optimum Performance , 10kg Pack",4.2 out of 5 stars,"₹1,439.00","https://images-eu.ssl-images-amazon.com/images/I/716muWbBS5L._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Drools-Optimum-Performance-Adult-Food/dp/B019K89WTC/ref=zg_bs_g_pet-supplies_d_sccl_22/259-0518190-3818361?psc=1,pet-supplies
